schema,model_name,relation_type,column_count,columns,description
bronze,raw_bad_events,VIEW,7,"dlq_id, error_reason, event_topic, ingest_ts, raw_payload, schema_version, source_topic",Quarantine contract for malformed Kafka envelopes and Kafka DLQ payloads.
bronze,raw_bad_snapshots,VIEW,5,"bad_record_id, error_reason, ingest_ts, raw_record, source_dataset",Quarantine contract for malformed periodic table-state export records.
bronze,raw_customers,VIEW,13,"acquisition_channel, anonymous_id, city, city_code, country, created_ts, customer_id, ingest_ts, marketing_opt_in, preferred_device, region, segment, signup_ts",
bronze,raw_inventory_snapshots,VIEW,7,"ingest_ts, product_id, reserved_stock, seller_id, snapshot_id, snapshot_ts, stock_on_hand",
bronze,raw_kafka_catalog_events,VIEW,10,"correlation_ids, created_ts, event_id, event_timestamp, event_topic, event_type, ingest_ts, payload, producer, schema_version",
bronze,raw_kafka_commerce_events,VIEW,10,"correlation_ids, created_ts, event_id, event_timestamp, event_topic, event_type, ingest_ts, payload, producer, schema_version",Raw Kafka commerce event envelopes preserved before flattening.
bronze,raw_kafka_fulfillment_events,VIEW,10,"correlation_ids, created_ts, event_id, event_timestamp, event_topic, event_type, ingest_ts, payload, producer, schema_version",
bronze,raw_kafka_ops_events,VIEW,10,"correlation_ids, created_ts, event_id, event_timestamp, event_topic, event_type, ingest_ts, payload, producer, schema_version",
bronze,raw_order_items,VIEW,14,"created_ts, discount_amount, gross_amount, ingest_ts, net_amount, order_id, order_item_id, primary_category, primary_subcategory, product_id, promotion_id, quantity, seller_id, unit_price","Bronze table-state export for order lines, before duplicate cleanup."
bronze,raw_orders,VIEW,20,"anonymous_id, coupon_code, created_ts, customer_id, fulfillment_channel, ingest_ts, item_count, order_date, order_discount_amount, order_gross_amount, order_id, order_net_amount, order_timestamp, primary_category, promotion_id, session_id, shipping_city, shipping_method, shipping_region, status",Bronze table-state export for order headers.
bronze,raw_payments,VIEW,10,"amount, created_ts, customer_id, failure_reason, ingest_ts, order_id, payment_id, payment_method, payment_status, payment_timestamp",Bronze table-state export for payment attempts.
bronze,raw_product_category_map,VIEW,6,"assigned_ts, category, ingest_ts, is_primary, product_id, subcategory",
bronze,raw_products,VIEW,13,"base_price, brand, category_attributes, created_ts, fulfillment_channel, ingest_ts, is_active, price_band, primary_category, primary_subcategory, product_id, product_name, seller_id",
bronze,raw_promotions,VIEW,11,"category, created_ts, discount_rate, funding_detail, funding_type, ingest_ts, promotion_end_ts, promotion_id, promotion_name, promotion_start_ts, seller_id",
bronze,raw_sellers,VIEW,13,"city, created_ts, fulfillment_speed_days, ingest_ts, inventory_reliability, is_official_store, price_band, primary_category, region, seller_id, seller_name, seller_rating, seller_tier",
bronze,raw_shipments,VIEW,11,"created_ts, customer_id, estimated_delivery_ts, handoff_ts, ingest_ts, order_id, shipment_id, shipment_status, shipping_city, shipping_method, shipping_region",Bronze table-state export for shipment states.
gold,agg_hourly_reconciled_kpi,BASE TABLE,21,"average_order_value, cancellation_rate, cancelled_or_failed_order_count, checkout_started_count, conversion_rate, delayed_shipment_count, delivery_delay_rate, discount_amount, estimated_cost, estimated_margin, gross_merchandise_value, gross_order_amount, metric_hour, official_paid_revenue, order_count, order_placed_event_count, paid_order_count, payment_attempt_count, payment_success_count, payment_success_rate, shipment_count",
