seller_id,seller_name,seller_tier,primary_category,city,region,seller_rating,fulfillment_speed_days,inventory_reliability,price_band,is_official_store,created_ts
SEL-OVN-NEW-00000001,Seller 00001,new_seller,Home & Living,Other VN,Other,3.85,5.05,0.687,budget,False,2024-10-21 23:59:00
SEL-HPH-PRE-00000002,Seller 00002,preferred,FMCG,Hai Phong,Red River Delta,4.27,2.67,0.973,mid,False,2025-12-04 23:59:00
SEL-DNA-OFF-00000003,Seller 00003,official,FMCG,Dong Nai,Southeast,4.36,1.22,0.958,premium,True,2024-12-30 23:59:00
SEL-HCM-PRE-00000004,Seller 00004,preferred,FMCG,Ho Chi Minh City,Southeast,4.47,3.35,0.955,mid,False,2025-01-30 23:59:00
SEL-HCM-PRE-00000005,Seller 00005,preferred,Fashion,Ho Chi Minh City,Southeast,4.52,1.69,0.92,mid,False,2025-04-13 23:59:00
SEL-HCM-PRE-00000006,Seller 00006,preferred,FMCG,Ho Chi Minh City,Southeast,4.58,1.84,0.906,mid,False,2025-05-19 23:59:00
SEL-NTR-NEW-00000007,Seller 00007,new_seller,FMCG,Nha Trang,Central Coast,3.83,4.16,0.785,budget,False,2025-05-21 23:59:00
SEL-BDG-STA-00000008,Seller 00008,standard,FMCG,Binh Duong,Southeast,4.24,2.78,0.823,value,False,2025-01-27 23:59:00
SEL-HAN-PRE-00000009,Seller 00009,preferred,FMCG,Ha Noi,Red River Delta,4.44,2.57,0.986,mid,False,2025-01-25 23:59:00
SEL-BDG-NEW-00000010,Seller 00010,new_seller,Home & Living,Binh Duong,Southeast,3.85,4.32,0.733,budget,False,2026-02-11 23:59:00
SEL-NTR-PRE-00000011,Seller 00011,preferred,Home & Living,Nha Trang,Central Coast,4.48,2.27,0.947,mid,False,2025-11-22 23:59:00
SEL-BDG-STA-00000012,Seller 00012,standard,ELHA,Binh Duong,Southeast,4.13,3.15,0.827,value,False,2025-11-22 23:59:00
SEL-HCM-STA-00000013,Seller 00013,standard,ELHA,Ho Chi Minh City,Southeast,4.17,3.12,0.884,value,False,2025-08-14 23:59:00
SEL-HAN-OFF-00000014,Seller 00014,official,FMCG,Ha Noi,Red River Delta,4.52,1.95,0.995,premium,True,2025-10-06 23:59:00
SEL-HCM-NEW-00000015,Seller 00015,new_seller,Home & Living,Ho Chi Minh City,Southeast,3.86,4.92,0.775,budget,False,2024-09-29 23:59:00
SEL-BDG-PRE-00000016,Seller 00016,preferred,FMCG,Binh Duong,Southeast,4.35,1.82,0.954,mid,False,2025-03-21 23:59:00
SEL-NTR-PRE-00000017,Seller 00017,preferred,Home & Living,Nha Trang,Central Coast,4.36,2.34,0.901,mid,False,2026-01-04 23:59:00
SEL-DAD-PRE-00000018,Seller 00018,preferred,FMCG,Da Nang,Central Coast,4.62,1.27,0.951,mid,False,2024-09-18 23:59:00
SEL-HPH-PRE-00000019,Seller 00019,preferred,FMCG,Hai Phong,Red River Delta,4.36,3.45,0.952,mid,False,2024-09-17 23:59:00
SEL-BDG-PRE-00000020,Seller 00020,preferred,FMCG,Binh Duong,Southeast,4.32,3.18,0.898,mid,False,2025-05-31 23:59:00
